App Name,Downloads/M 的總和,Last Update Date,rate 的總和,Release Date,Revenue/M 的總和
Blobsbuster,1000,2024-05-30 00:00:00 UTC,1,2022-03-25 00:00:00 UTC,1000
Block Jam 3D: Match 3 Puzzle,200000,2025-06-24 00:00:00 UTC,1.5,2022-06-21 00:00:00 UTC,300000
Blocksbuster!,1000,2020-11-24 00:00:00 UTC,1,2019-05-18 00:00:00 UTC,1000
Bottle Jam!,1000,2025-02-13 00:00:00 UTC,1,2024-06-27 00:00:00 UTC,1000
Bounce and collect,10000,2025-06-23 00:00:00 UTC,0.1,2021-04-09 00:00:00 UTC,1000
Bounce Defense,20000,2025-06-20 00:00:00 UTC,0.3,2025-02-05 00:00:00 UTC,6000
Bouncy Stick,1000,2024-05-24 00:00:00 UTC,1,2020-12-02 00:00:00 UTC,1000
Bricky Fall,1000,2024-05-22 00:00:00 UTC,1,2021-03-19 00:00:00 UTC,1000
Bubble Buster 2048,1000,2025-03-25 00:00:00 UTC,1,2021-03-17 00:00:00 UTC,1000
Bubble Fall 3D,1000,2024-04-18 00:00:00 UTC,1,2022-07-08 00:00:00 UTC,1000
Bubble Tower 3D!,10000,2025-01-22 00:00:00 UTC,0.1,2023-07-21 00:00:00 UTC,1000
Bucket Crusher,90000,2025-06-24 00:00:00 UTC,0.0111111111111111,2022-05-10 00:00:00 UTC,1000
Build Up!!,20000,2025-06-05 00:00:00 UTC,0.05,2022-06-20 00:00:00 UTC,1000
Bullet Rush!,1000,2025-03-07 00:00:00 UTC,1,2020-07-02 00:00:00 UTC,1000
Bullet Time!,1000,2023-02-16 00:00:00 UTC,1,2022-09-12 00:00:00 UTC,1000
Bumper.io,1000,2024-05-29 00:00:00 UTC,1,2018-08-09 00:00:00 UTC,1000
Candle Craft,1000,2024-05-27 00:00:00 UTC,1,2021-09-14 00:00:00 UTC,1000
Cannon Attack,10000,2024-04-30 00:00:00 UTC,0.1,2023-04-27 00:00:00 UTC,1000
Cannon It!,1000,2023-12-19 00:00:00 UTC,1,2021-02-08 00:00:00 UTC,1000
Canvas Run,5000,2024-05-29 00:00:00 UTC,0.2,2021-10-21 00:00:00 UTC,1000
Captain TNT,70000,2025-04-13 00:00:00 UTC,0.1,2021-06-30 00:00:00 UTC,7000
Card Battle,20000,2025-02-20 00:00:00 UTC,0.05,2022-08-24 00:00:00 UTC,1000
Card Factory!,50000,2025-06-13 00:00:00 UTC,0.8,2025-01-05 00:00:00 UTC,40000
Castle Raid!,60000,2025-04-18 00:00:00 UTC,0.0166666666666667,2022-06-09 00:00:00 UTC,1000
Castle Wreck,10000,2025-01-27 00:00:00 UTC,0.1,2019-04-29 00:00:00 UTC,1000
Catch And Shoot,40000,2024-12-20 00:00:00 UTC,0.025,2021-01-18 00:00:00 UTC,1000
Chain 3!,1000,2024-05-27 00:00:00 UTC,1,2023-05-29 00:00:00 UTC,1000
Childcare Master,1000,2024-05-23 00:00:00 UTC,1,2022-02-28 00:00:00 UTC,1000
Cinema Tycoon,1000,2025-02-27 00:00:00 UTC,1,2020-07-23 00:00:00 UTC,1000
City Takeover,1000,2025-04-16 00:00:00 UTC,1,2020-12-18 00:00:00 UTC,1000
Claw Heroes,1000,2025-05-15 00:00:00 UTC,1,2025-02-06 00:00:00 UTC,1000
